Chloraphylla ugL,DO mg,DO Sat,EC mScm,pH,Temp degC,Turbidity NTU
5.45,6.075,94.55,45.7,7.875,30.025,2.85
5.75,6.025,93.45,45.47,7.865,29.89,4
5.4,6.015,93,44.915,7.855,29.765,3.55
4.55,5.935,91.4,44.455,7.825,29.71,3.35
4.1,5.915,90.65,43.91,7.805,29.525,3.25
3.85,5.865,89.55,43.43,7.775,29.38,5
4.1,5.81,88.5,43.25,7.75,29.295,6.25
3.65,5.88,89.35,43.25,7.795,29.155,3
4.5,5.815,88.7,43.68,7.79,29.29,5
3.5,5.825,89.2,44.225,7.8,29.37,5.5
5.4,5.75,88.7,45.58,7.84,29.54,10.4
4.7,5.59,86.3,46.215,7.845,29.395,7.75
3.85,5.625,86.95,46.27,7.85,29.48,4.6
4.65,5.655,87.55,46.17,7.85,29.585,4.8
5.1,5.81,90.2,45.71,7.855,29.82,5.1
4.1,5.925,91.95,45.165,7.85,29.995,4.1
4.3,5.975,92.65,44.62,7.84,30.1,4.35
4.95,6.09,94.45,44.2,7.84,30.205,4.4
7.05,6.26,97.05,43.78,7.83,30.28,7.8
8.5,6.475,100.45,43.72,7.87,30.32,4.75
9.9,6.535,101.4,43.84,7.885,30.35,5.65
6.65,6.26,97.05,44.255,7.855,30.17,4.45
7.65,6.33,98.25,44.765,7.875,30.125,4.5
7.5,6.255,97.1,45.36,7.88,29.965,4.25
6.85,6.15,95.35,45.57,7.87,29.83,4.05
6.1,6.095,94.5,45.87,7.875,29.75,3.55
6.2,6.1,94.15,45.425,7.865,29.595,4
5.5,6,92.35,44.99,7.84,29.55,3.3
4.2,5.97,91.55,44.445,7.825,29.425,3
6.15,6.09,94.05,45.785,7.88,29.52,6.15
6.45,6.155,95.15,45.32,7.875,29.72,5.15
6.55,6.235,96.35,44.815,7.865,29.83,4.25
6.95,6.275,96.95,44.32,7.86,29.885,4.8
8,6.375,98.3,43.9,7.855,29.905,7.45
8.6,6.445,99.25,43.72,7.855,29.855,5.4
10.9,6.61,101.15,43.37,7.89,29.605,4.15
10.75,6.49,99.65,43.84,7.88,29.665,4.1
9.55,6.375,98.2,44.595,7.875,29.675,3.75
7.95,6.36,98,45.18,7.89,29.55,4
7.95,6.235,95.95,45.305,7.88,29.44,3.55
6.1,6.2,95.45,45.745,7.88,29.35,2.75
6.8,6.18,94.7,45.255,7.875,29.18,3.45
6.25,6.085,93.15,44.91,7.855,29.2,3.45
5.55,6,91.6,44.28,7.835,29.165,3.65
5.15,5.98,90.95,43.765,7.815,29.075,3.6
4.4,5.95,89.75,42.745,7.775,28.87,3.975
5.95,6.155,90.9,41.5325,7.805,28.23,4.275
5.15,6.08,90.3,40.87,7.81,28.37,6.1
5.15,6.065,90.8,41.945,7.81,28.59,5.3
6.35,6.16,92.05,41.665,7.835,28.505,4.8
5.8,5.955,90.55,44.325,7.845,28.93,5.05
5.65,5.915,90.2,45.285,7.855,28.905,4.65
5.55,6.015,91.9,45.5,7.875,28.955,3.3
5.8,6.02,91.95,45.21,7.875,29.015,5.35
6.95,6.08,92.9,44.86,7.87,29.11,5.05
5.55,6.045,92.5,44.495,7.86,29.305,4.5
6.4,6.105,93.4,44.06,7.855,29.395,4.55
7.8,6.265,95.7,43.41,7.855,29.46,5.65
9.25,6.395,97.5,42.925,7.835,29.43,5.7
10.5,6.62,100.75,42.825,7.895,29.33,4.25
11.95,6.705,101.45,42.155,7.895,29.175,4.15
9.4,6.395,97.35,43.29,7.87,29.28,3.7
8.45,6.335,96.65,44.145,7.875,29.155,3.7
7.25,6.16,93.8,44.665,7.875,28.98,3.35
7.85,6.08,92.7,44.92,7.87,28.945,2.85
6.6,6.145,93.55,45.01,7.885,28.835,2.6
6.1,6.02,91.4,44.635,7.865,28.755,3
4.9,5.915,89.45,44.075,7.84,28.69,2.3
4.15,5.855,88.05,43.325,7.82,28.49,2.35
3.95,5.84,87.35,42.82,7.8,28.34,3.55
4.45,5.905,88,42.465,7.77,28.17,3.25
4.15,5.89,87.5,42.44,7.8,28.015,2.2
4.65,5.855,87.25,42.755,7.8,28.09,2.5
4.5,5.85,87.8,43.34,7.81,28.375,2.5
5.55,5.855,88.6,44.475,7.84,28.625,5
5.5,5.925,89.45,45.035,7.865,28.33,4.8
4.75,5.965,90.3,45.07,7.865,28.53,3.55
5.35,6.025,91.25,45.41,7.875,28.45,3.2
6.45,6.23,94.65,44.885,7.89,28.765,4.85
6,6.26,95.4,44.575,7.88,28.98,3.55
6.05,6.34,96.75,44.18,7.88,29.21,3.3
6.2,6.365,97.1,43.67,7.88,29.275,4.15
8.65,6.485,98.6,43.145,7.875,29.2,6.7
9.9,6.575,99.7,42.855,7.87,29.08,5.35
9.95,6.69,100.95,42.32,7.91,28.91,3.6
10.45,6.58,99.3,42.54,7.885,28.915,3.45
9.25,6.44,97.7,43.48,7.88,28.995,3.15
8.45,6.415,97.25,44.335,7.895,28.775,3.2
7.75,6.225,94.2,44.645,7.88,28.605,2.95
6.95,6.235,94.4,44.83,7.885,28.56,2.05
6.85,6.16,93.05,44.74,7.875,28.405,2.15
5.8,6.045,91.05,44.27,7.855,28.41,2.35
4.65,5.97,89.65,43.635,7.84,28.37,1.9
4.8,5.91,88.4,43.095,7.825,28.225,2.25
4.7,5.82,86.7,42.68,7.785,28.09,3.3
3.75,5.795,86.05,42.525,7.785,27.935,2.35
4.25,5.855,86.95,42.655,7.82,27.945,1.4
4.75,5.905,88.15,43.03,7.815,28.155,2.1
4.65,5.94,89.2,43.675,7.83,28.4,2.55
5.55,6.03,91.2,44.66,7.86,28.53,4.7
5.35,6.08,92.2,45.05,7.88,28.58,3.6
5.65,6.165,93.7,45.195,7.89,28.68,2.4
5.9,6.42,97.8,45.015,7.91,28.885,2.35
6.6,6.505,99.2,44.75,7.91,29,2.75
8.15,6.49,98.95,44.455,7.905,29.09,2.7
7.9,6.415,97.9,44.05,7.895,29.21,2.95
8.65,6.4,97.5,43.59,7.88,29.205,4.15
10,6.435,97.65,43.17,7.845,29.12,7.25
11.65,6.67,100.95,42.945,7.905,28.995,3.6
10.25,6.445,97.65,43.36,7.885,28.995,4
8.85,6.365,96.7,43.85,7.875,28.985,3.55
8.7,6.41,97.25,44.25,7.885,28.87,3.05
8.45,6.445,97.75,44.77,7.91,28.66,2.55
7.15,6.345,96.05,44.93,7.9,28.485,2.1
6.9,6.265,94.8,45.025,7.89,28.45,2
7.2,6.165,93,44.67,7.875,28.365,2.4
5.95,6.045,91.1,44.24,7.845,28.395,2.05
4.85,5.945,89.2,43.685,7.825,28.28,2.05
4.75,5.845,86.95,42.335,7.805,28.04,6.55
4.4,5.81,86.1,42.415,7.785,27.86,3.55
4.75,5.795,85.8,42.385,7.805,27.79,1.95
4.85,5.815,86.5,42.64,7.81,27.99,1.75
6.05,6.005,89.55,42.775,7.825,28.13,1.4
6.1,6.17,92.2,42.575,7.845,28.31,2.75
6.3,6.09,91.9,44.015,7.845,28.54,3.5
6.45,6.34,96.1,44.51,7.885,28.72,2.75
7.15,6.4,97.35,45.005,7.91,28.78,2.35
7.4,6.58,100.25,44.81,7.925,28.965,3.25
8.9,6.71,102.4,44.55,7.935,29.095,3
8.85,6.545,99.85,44.23,7.91,29.165,3.15
8.6,6.51,99.3,43.905,7.895,29.25,3.45
9.75,6.515,99.15,43.435,7.89,29.22,4.95
10.15,6.72,101.95,42.96,7.91,29.13,3.8
10.7,6.615,100.25,43.115,7.91,29.015,3.9
8.9,6.45,97.55,43.295,7.885,28.87,3.9
10.25,6.45,97.9,43.92,7.895,28.94,3.2
9.6,6.53,99.1,44.465,7.915,28.785,3.1
8.6,6.435,97.4,44.8,7.915,28.57,2.5
7.7,6.35,96.1,44.805,7.9,28.545,2.1
7.2,6.27,94.65,44.685,7.895,28.415,2.05
6.8,6.135,92.5,44.37,7.875,28.4,2.25
5.3,6.015,90.6,44.005,7.85,28.445,2.05
4.75,5.92,88.95,43.54,7.825,28.39,2
4.95,5.85,87.6,42.985,7.805,28.31,2.4
4.2,5.875,87.7,42.715,7.815,28.205,1.45
4.8,5.95,89,42.94,7.83,28.265,1.8
6.6,6.06,90.9,43.285,7.845,28.365,1.3
5.65,6.075,91.65,43.97,7.85,28.545,2.6
6.4,6.415,97.3,44.55,7.9,28.735,2.3
7.1,6.5,98.9,44.605,7.905,28.88,2.6
6.9,6.815,104.15,44.91,7.945,29.075,2.2
7.15,6.95,106.4,45.01,7.965,29.185,1.95
9.25,7.12,109.15,44.79,7.975,29.34,2.3
10.3,7.075,108.4,44.585,7.97,29.345,2.3
11.45,7.075,108.35,44.21,7.96,29.42,2.1
11.9,7.17,109.8,43.805,7.965,29.525,2.85
10.35,6.995,106.7,43.26,7.925,29.42,3.4
9,6.955,105.75,43.045,7.94,29.27,2.6
10.3,6.925,105.4,43.32,7.94,29.215,2.75
10.45,6.895,104.9,43.705,7.93,29.13,3.1
10.55,6.905,105.2,44.095,7.94,29.115,2.6
9.1,6.825,103.8,44.46,7.94,28.935,2.25
9.05,6.68,101.5,44.56,7.93,28.81,2
8.45,6.59,100,44.715,7.92,28.695,1.6
7.65,6.45,97.7,44.665,7.905,28.625,1.7
6.3,6.34,96,44.37,7.885,28.655,1.6
4.95,6.22,93.95,44.03,7.865,28.645,1.3
5.1,6.16,92.7,43.575,7.845,28.535,1.25
4.1,6.115,91.9,43.175,7.85,28.5,1.05
5.75,6.19,93.3,43.16,7.87,28.67,1.3
6.2,6.39,96.65,43.325,7.88,28.845,1
6.3,6.68,101.7,43.585,7.905,29.2,0.85
6.35,6.985,106.9,43.835,7.945,29.48,0.6
7.55,7.105,109,44.415,7.96,29.47,1.45
6.05,7.15,110.5,44.47,7.955,29.92,2.2
8.6,7.63,118.35,44.66,8.015,30.1,1.35
9.2,7.835,121.8,44.73,8.04,30.215,1.35
9.8,7.945,123.55,44.79,8.05,30.2,1.8
9.85,7.595,117.55,44.705,8.01,29.945,2.25
9.65,7.52,116.2,44.34,8.005,29.95,2.15
8.3,7.505,115.95,43.66,8,30.055,2.35
7.6,7.225,111.25,43.315,7.98,29.96,2.45
6.25,7.16,109.9,43.185,7.98,29.825,2.1
7.7,7.145,109.6,43.495,7.96,29.685,2.95
7.95,7.2,110.25,43.63,7.965,29.525,2.15
7.3,7.19,110,43.89,7.97,29.42,1.75
6.55,6.935,105.9,44.065,7.945,29.235,1.55
6.45,6.86,104.75,44.375,7.935,29.22,1.55
5.9,6.77,103.25,44.63,7.94,29.1,1.15
5.85,6.62,101,44.675,7.92,29.075,1.7
5.2,6.475,98.7,44.49,7.895,29.075,1.95
5.15,6.34,96.65,44.325,7.865,29.05,1.95
3.9,6.255,95.2,43.95,7.86,29.045,1.3
4.35,6.185,94.05,43.565,7.865,29.155,0.6
5.55,6.345,96.85,43.71,7.885,29.295,1.55
5.5,6.455,98.65,43.895,7.895,29.39,1.2
5.85,6.475,99.05,44.31,7.895,29.315,1.3
6.65,6.865,105.55,44.23,7.94,29.635,1.25
6.75,7.065,109.45,44.385,7.965,30.055,1.05
7.55,7.225,112.45,44.435,7.97,30.35,1.75
8.35,7.485,116.7,44.495,8.015,30.43,1
8.65,7.6,118.45,44.52,8.03,30.395,1.7
9.2,7.595,118,44.625,8.035,30.19,1.45
7.75,7.235,111.95,44.715,8,29.94,2.25
8.2,6.92,106.8,44.405,7.955,29.845,2.25
6.1,6.655,102.65,43.89,7.915,29.93,2.6
4.9,6.37,98.05,43.63,7.9,29.905,2.55
5.2,6.36,97.8,43.615,7.9,29.82,2.3
5.5,6.415,98.45,43.72,7.885,29.675,2.6
5.55,6.56,100.65,43.935,7.9,29.595,1.85
5.3,6.57,100.7,44.01,7.91,29.495,1.4
5.1,6.42,98.4,44.185,7.89,29.445,1.5
4.95,6.465,99.15,44.46,7.91,29.435,1.1
4.65,6.425,98.25,44.49,7.91,29.245,1.05
4.8,6.235,95.35,44.66,7.89,29.19,1.2
4.75,6.095,93.25,44.645,7.86,29.195,1.8
4.2,6.045,92.45,44.56,7.85,29.205,1.8
4.25,5.94,90.75,44.435,7.83,29.25,2.3
3.8,5.96,91.25,44.11,7.85,29.43,0.6
4.45,6.185,94.95,43.81,7.875,29.68,0.85
6.25,6.43,99.2,43.99,7.905,29.915,1.25
6.45,6.59,101.75,44.445,7.91,29.855,1.65
7,6.84,105.8,44.57,7.95,29.945,0.95
8.05,7.025,108.95,44.635,7.965,30.115,1.35
9.1,7.04,109.15,44.695,7.97,30.045,1.65
8.2,7.035,108.9,44.76,7.97,29.955,1.6
9.95,7.07,109.45,44.85,7.975,29.92,1.45
8.35,6.825,105.5,44.925,7.96,29.8,1.95
7.05,6.675,103.15,44.81,7.925,29.805,3.1
7.45,6.495,100.25,44.59,7.905,29.77,3.55
6.1,6.31,97.3,44.13,7.9,29.815,2.65
5.35,6.285,96.7,43.92,7.88,29.805,2.6
6.35,6.295,96.8,44.025,7.9,29.72,2.45
5.65,6.28,96.2,44.095,7.875,29.465,2.1
5.35,6.335,97.15,44.47,7.895,29.455,2.2
5.85,6.33,97.25,44.79,7.9,29.49,2.1
5.5,6.235,95.75,44.895,7.9,29.455,2.2
5.1,6.24,95.9,44.895,7.895,29.445,1.75
5,6.25,95.95,44.94,7.905,29.385,1.2
4.5,6.1,93.6,44.92,7.88,29.34,1.45
4,5.88,90.2,44.88,7.845,29.36,2.45
4.25,5.85,89.75,44.755,7.835,29.385,2.5
3.7,5.865,90.2,44.56,7.84,29.545,0.95
3.4,5.94,91.75,44.395,7.84,29.87,0.35
4.1,6.3,97.65,44.015,7.885,30.245,0.5
5.7,6.575,102.4,44.115,7.915,30.465,0.5
7.4,6.78,105.9,44.445,7.92,30.595,1.05
11.9,7.445,116.65,44.665,7.995,30.715,1.6
12.05,7.58,118.75,44.8,8.025,30.665,1.75
13.05,7.695,120.6,44.775,8.03,30.69,2.15
15.35,7.855,122.9,44.825,8.05,30.58,1.85
13.4,7.81,122.05,44.855,8.06,30.515,1.55
10.8,7.31,113.75,44.86,8.005,30.225,2.4
9.6,6.845,106.2,44.81,7.94,30.09,3.75
6.6,6.39,98.95,44.57,7.895,30.015,2.95
5.15,6.225,96.2,44.09,7.885,30.015,1.95
4.5,6.12,94.55,43.95,7.875,30.01,1.8
4.75,6.105,94.25,43.945,7.88,29.945,1.35
5.55,6.125,94.45,44.115,7.875,29.86,1.8
5.55,6.415,94.7,36.55,7.9,28.96,3.05
5.55,6.355,96.6,42.695,7.9,29.305,4.6
4.65,6.385,93,36.57,7.9,28.15,7.2
4.3,6.51,91.9,31.255,7.885,27.485,10.2
4.05,6.535,90.9,29.275,7.865,27.11,10.35
4,6.525,91.9,31.525,7.865,27.34,8.5
9.95,6.49,93.15,35.28,7.885,27.59,6.1
16.05,6.685,98.35,38.525,7.925,28.31,4.85
12.05,6.595,98.85,41.055,7.915,28.84,4.2
9.95,6.16,93.7,42.96,7.86,29.29,4.15
7.6,6,92.1,43.52,7.845,29.67,2.3
11.85,6.69,103.1,43.445,7.915,29.97,4.35
14.2,7.065,108.8,42.03,7.945,30.285,3.6
27,8.28,124.45,33.86,8.075,30.73,9.1
22.15,8.49,128.9,37.445,8.11,30.52,5.95
9.65,7.135,101.05,25.1,8.02,29.03,4.742
15.05,7.205,104.4,30.275,7.99,29.3,5.198
10.1,6.665,98.05,34.425,7.94,29.225,5.654
9.4,6.485,91.5,27.135,7.895,28.45,6.11
5.25,6.51,93.75,30.965,7.84,28.735,6.566
5.3,6.09,81.35,17.505,7.715,27.305,7.022
4.95,6.09,83,19.77,7.635,27.97,7.478
5.3,6.195,83.9,19.005,7.615,27.77,7.934
5.6,6.14,83.5,19.45,7.565,27.905,8.39
5.35,6.105,82.25,17.945,7.53,27.65,8.846
5.55,5.965,80.25,17.72,7.46,27.62,9.302
5.15,5.995,83.95,26.34,7.605,28.195,9.758
4.8,5.985,85.1,29.49,7.695,28.325,11.75
4.5,5.89,84.9,32.425,7.72,28.555,10.7
7.85,5.8,85.55,36.915,7.755,28.855,5.65
8.1,5.895,87.8,38.135,7.79,29.165,5.35
12.7,6.17,92.5,39.015,7.84,29.34,4.85
12,6.31,95.6,39.585,7.85,29.85,4.65
13.4,6.35,96.85,39.3,7.85,30.3,4.4
11.6,6.3,96.6,38.895,7.815,30.815,5.1
8.95,6.065,93.4,38.315,7.815,31.16,6.8
13.35,6.52,100.9,38.58,7.86,31.37,5.5
16.2,6.75,101.8,34.69,7.885,30.74,6.1
21.3,7.305,111.75,36.785,7.94,31.085,7.75
11.35,7.295,110.45,33.635,7.945,31.21,11.1
11.5,7.225,107.6,30.855,7.965,30.865,13.65
12.4,7.245,107.15,30.45,7.97,30.555,12.6
7.85,7.07,104.1,30.67,7.955,30.18,10.5
5.8,6.56,98.35,35.955,7.88,30.11,6.25
5,6.48,97.55,37.005,7.875,30.08,5.35
5.1,6.35,95.75,37.835,7.86,29.985,4.65
5.05,5.635,85.1,38.38,7.76,29.915,4.2
4.55,5.49,82.85,38.33,7.725,29.96,3.6
6,5.78,80.85,23.95,7.595,28.62,4.575
7.05,5.82,80.7,23.025,7.515,28.315,6.275
5.45,5.665,82.9,32.78,7.63,29.355,7.975
5.1,5.66,84.6,36.83,7.74,29.685,5.65
4.5,5.495,83.05,39.385,7.75,29.735,3
5.05,5.555,83.55,38.93,7.74,29.565,2.85
5.7,5.47,82.85,39.685,7.755,29.805,2.35
5.7,5.385,81.95,40.25,7.755,29.965,2.5
5.5,5.385,82.2,40.305,7.745,30.105,3.25
5.3,5.26,80.4,40.02,7.73,30.31,4
6.2,5.26,80.55,39.615,7.715,30.575,4.7
5.6,5.225,80.55,39.305,7.7,30.975,4.3
7,5.43,85.05,38.95,7.685,32.065,6.75
10.4,5.83,91,39.17,7.755,31.87,4.7
12.9,6.445,100.7,38.795,7.825,32.03,4.15
12.7,6.7,104.8,39.16,7.86,31.915,3.85
9.8,6.3,97.75,39.685,7.83,31.325,3.75
8.35,6.24,96.7,39.97,7.82,31.165,2.6
7.25,6.07,93.9,40.405,7.81,30.955,2
6.05,5.935,91.55,40.55,7.805,30.755,2.1
5.6,5.63,86.6,40.42,7.77,30.615,2.65
4.9,5.27,80.9,40.015,7.72,30.555,2.95
4.1,5.145,78.9,39.4,7.695,30.595,3.3
3.9,5.055,77.45,39.06,7.67,30.655,2.6
3.75,5.095,77.4,38.215,7.63,30.375,2.75
5.1,5.065,77.45,38.695,7.665,30.645,1.35
5.4,4.99,76.25,39.085,7.665,30.53,1.95
5.2,4.995,76.35,39.46,7.67,30.4,2.7
5.75,5.175,79.15,40.265,7.705,30.32,2.3
4.85,5.15,79,40.905,7.72,30.32,3
5,5.295,81.55,41.35,7.745,30.41,2.4
4.7,5.345,82.55,41.725,7.765,30.54,2.55
5.55,5.335,82.45,41.285,7.755,30.655,3.35
4.8,5.285,81.9,40.97,7.735,30.89,2.95
5.55,5.295,82.2,40.525,7.725,31.135,2.7
5.6,5.26,81.8,40.11,7.715,31.415,3.55
5.95,5.515,86.35,39.655,7.73,31.89,3.55
6.7,5.97,93.95,39.185,7.775,32.345,2.9
9.25,6.29,99.35,39.235,7.79,32.5,3.7
11.35,6.395,100.85,39.465,7.81,32.395,4.15
14.3,6.605,103.65,40.195,7.855,31.9,3.75
11,6.34,99.1,41.28,7.86,31.4,2.85
9.3,6.105,95.25,41.635,7.845,31.21,2.55
8.7,6.255,97.65,41.81,7.855,31.19,1.75
8.1,5.965,92.95,41.565,7.83,31.075,2.9
6.9,5.765,89.6,40.955,7.79,31.13,2.75
6.25,5.485,85.05,40.54,7.75,31.11,2.7
4.85,5.275,81.75,40.025,7.715,31.115,3
5.15,5.25,81.25,39.525,7.695,31.19,2.8
5.7,5.37,82.9,38.98,7.705,31.21,1.7
5.25,5.285,81.65,39.2,7.71,31.14,1.85
6.05,5.22,80.45,39.565,7.685,30.94,2.1
6.4,5.25,81.15,40.385,7.71,30.87,3.25
6.85,5.495,85.15,41.76,7.77,30.765,5.6
5.9,5.53,85.8,42.38,7.8,30.675,5
6.6,5.65,87.95,42.58,7.815,30.82,3.6
6.15,5.73,89.45,42.65,7.83,30.98,4
7.25,5.79,90.65,42.06,7.82,31.29,5.05
7.95,5.87,92.15,41.46,7.8,31.635,3.85
8.15,5.885,92.65,41.015,7.795,31.905,3.95
8.35,6.04,95.3,40.56,7.8,32.155,4.5
13.35,6.455,101.8,40.02,7.83,32.24,5.6
15.95,7.175,113.65,39.655,7.9,32.63,4.9
17.65,7.11,112.1,39.925,7.895,32.285,5.8
19.6,7.19,113.35,40.44,7.905,32.14,4.85
15.9,6.865,107.85,41.2,7.895,31.76,4.95
13.95,6.615,103.65,42.04,7.91,31.34,3.55
12.45,6.475,101.25,42.29,7.9,31.19,2.85
11.1,6.3,98.55,42.76,7.895,31.105,3.4
11.1,6.29,98.1,42.19,7.885,31.045,4
10.35,6.125,95.45,41.575,7.85,31.13,3.45
8.95,5.91,91.95,41.08,7.815,31.12,3.8
7.3,5.83,90.35,40.485,7.785,31.065,4.35
7.15,5.795,89.6,39.98,7.76,30.99,3.7
8.35,5.87,90.5,39.47,7.79,30.96,2.95
7.85,5.805,89.4,39.675,7.785,30.84,2.95
7.65,5.715,88.15,40.31,7.765,30.81,3.85
9.45,5.775,89.5,41.475,7.8,30.815,6.8
9.1,5.745,89.2,42.91,7.845,30.595,11.6
7.6,5.89,91.65,43.44,7.875,30.63,4.6
8.3,5.84,91.05,43.67,7.875,30.67,4.8
8.6,6.03,94,43.295,7.885,30.77,7
9.6,6.045,94.15,42.685,7.875,30.8,6.7
10.25,6.01,93.35,41.99,7.845,30.82,7.1
9.1,5.945,92.15,41.365,7.825,30.81,7.5
10.2,5.905,90.95,40.61,7.81,30.66,8.7
10.85,5.915,90.85,40.06,7.78,30.565,7.8
13.95,6.155,94.45,40.07,7.8,30.585,6.25
12.55,6.24,96.05,40.36,7.84,30.655,5.4
11.15,6.055,93.3,40.815,7.825,30.59,5.5
11.75,6.115,94.35,41.525,7.845,30.55,4.85
9.75,5.94,91.75,42.32,7.85,30.365,4.35
9,5.88,90.85,42.875,7.86,30.275,3
9.4,5.82,89.85,43.11,7.865,30.205,6.5
8.1,5.77,89,42.565,7.845,30.22,5.9
6.75,5.63,86.65,42.075,7.82,30.255,4.95
5.55,5.49,84.05,41.4,7.795,30.11,5.4
5.7,5.445,83,40.75,7.775,29.935,5.45
5.35,5.365,81.35,40.255,7.725,29.77,5.25
5.95,5.42,81.9,40.04,7.755,29.57,3.5
6.05,5.395,81.7,40.36,7.755,29.645,3.95
5.55,5.4,82.4,41.195,7.77,29.9,5.05
6.65,5.475,84.1,42.71,7.815,29.98,8.95
5.8,5.395,82.9,43.665,7.84,29.745,10.95
5.25,5.44,83.55,44.015,7.855,29.685,5.35
5.5,5.425,83.4,44.19,7.86,29.65,4.6
6.8,5.5,84.45,43.515,7.855,29.75,7.7
7.4,5.465,83.9,42.97,7.84,29.89,7.85
6.65,5.565,85.45,42.245,7.83,30.025,7.45
8.1,5.575,85.2,41.57,7.81,29.93,7.9
8.9,5.605,85.2,40.935,7.795,29.745,7
8.65,6.23,86.65,40.51166667,7.77,28.985,9.25
7.95,5.855,83,40.43833334,7.71,29.625,10.75
7.15,5.46,82.65,40.435,7.695,29.63,8.7
7.5,5.41,81.85,40.43,7.695,29.55,7
7.7,5.58,84.15,40.41,7.76,29.415,5.1
8,5.555,83.75,40.52,7.76,29.35,4.45
7.65,5.435,82.65,41.55,7.78,29.595,5.1
6.3,5.305,81.15,43.1,7.81,29.58,7.45
6.2,5.26,80.45,43.53,7.815,29.48,5.4
5.95,5.255,80.4,43.72,7.825,29.455,5.4
5.45,5.225,79.6,42.905,7.805,29.355,8.25
5.85,5.155,78.4,42.58,7.785,29.385,6.5
4.8,5.075,76.75,41.875,7.755,29.27,5.7
4.8,5.075,76.5,41.275,7.735,29.105,5.65
4.85,4.955,74.2,40.66,7.675,28.885,5.05
